Date,Open,High,Low,Close,Volume,Size
1992/6/29,1168.89,1173.49,1156.68,1169.51,5361000,102578796
1992/6/30,1186.62,1193.16,1169.51,1191.19,5897600,147621709
1992/7/1,1199.54,1215.13,1182.05,1194.18,5833000,112406302
1992/7/2,1187.3,1198.66,1179.86,1187.48,4651200,92341060
1992/7/3,1189.09,1193.39,1183.96,1189.16,7524500,154763624
1992/7/6,1197.76,1215.24,1190.27,1201.01,6378200,178472998
1992/7/7,1201.01,1206.91,1195.81,1206.46,6882600,188306233
1992/7/8,1192.37,1211.27,1182.72,1185.5,6804300,138880316
1992/7/9,1172.44,1187.18,1168.78,1178.53,5321600,130815440
1992/7/10,1175.14,1192.98,1166.45,1188.62,5814900,134101378
1992/7/13,1156.83,1198.9,1131.21,1136.33,5159500,123468475
1992/7/14,1124.65,1139.96,1110.19,1114.05,4446200,95340924
1992/7/15,1107.18,1135.57,1100.16,1107.69,4481200,121584360
1992/7/16,1114.13,1214.83,1108.23,1124.64,5046400,151032608
1992/7/17,1121.49,1134.32,1116.14,1125.56,6267100,115821091
1992/7/20,1100.6,1126.96,1094.81,1098.82,3169900,67313538
1992/7/21,1087.61,1096.49,1079.75,1082.39,3591200,66221851
1992/7/22,1059.22,1081.81,1034.91,1035.66,4734700,105623180
1992/7/23,1020.07,1033.75,961.61,1014.57,7701400,137013298
1992/7/24,1165.89,1178.9,1014.08,1142.02,5715500,100041780
1992/7/27,1169.42,1178.81,1108.05,1149.33,5956000,122257738
1992/7/28,1126.88,1148.63,1102.02,1105.95,7838700,105616882
1992/7/29,1078.31,1108.06,1047.03,1087.12,6898700,85225679
1992/7/30,1067.45,1087.36,1043.79,1057.4,9910800,88690330
1992/7/31,1045.67,1052.07,1032.54,1052.07,8714900,77149541
1992/8/3,1034.7,1060.36,1026.83,1031.55,6010300,73754403
1992/8/4,1018.3,1036.33,1016.16,1035.63,5247200,63035097
1992/8/5,1015.76,1038.3,1011.66,1012.55,6114600,76139993
1992/8/6,988.38,1010.76,983.22,1002.17,7255500,108106841
1992/8/7,1003.22,1006.11,995.71,1005.23,7825600,101706996
1992/8/10,992.73,1006.64,956.55,964.09,8178100,111257788
1992/8/11,926.81,961.61,797.6,863.41,10699900,153828826
1992/8/12,675,843.3,627.36,781.21,14483100,188801201
1992/8/13,797.17,890.06,745.62,850.94,11559400,171260116
1992/8/14,857.1,900.51,818.12,858.38,10440700,159447575
1992/8/17,898.66,940.76,858.38,939.46,11335700,190291936
1992/8/18,954.89,999.69,921.98,933.44,14849400,259401684
1992/8/19,920.66,951.16,888.23,939.51,7595200,131836239
1992/8/20,930.7,946.73,918.65,932.32,16056500,177488020
1992/8/21,916.99,938.37,912.89,916.25,17056700,189594667
1992/8/24,888.95,920.85,881.33,884.1,9934700,155058343
1992/8/25,868.1,887.49,848.05,849.57,8466200,135092147
1992/8/26,841.42,877.25,827.36,877.25,12615300,153392995
1992/8/27,874.75,880.02,861.64,863.77,5425800,89723328
1992/8/28,851.6,866.98,825.01,848.2,7488400,95684135
1992/8/31,833.5,848.4,823.02,823.27,5429600,77675193
1992/9/1,826.96,832.84,807.37,824.96,7869400,87529173
1992/9/2,803.83,826.68,783.96,787.67,9392400,140242144
1992/9/3,749.22,781.33,742.74,764.11,16373000,206650590
1992/9/4,759.54,776.18,749.46,753.58,9877200,130811504
1992/9/7,745.69,788.15,700.79,702.83,8710500,135455443
1992/9/8,653.36,702.83,595.42,640.12,10063400,130824891
1992/9/9,613.44,643.77,608.06,635.74,11190800,131749927
1992/9/10,643.21,695.18,622.01,692.78,11310900,142572834
1992/9/11,773.22,789.18,719.39,776.29,11729400,165860417
1992/9/14,762.82,793.36,714.93,734.98,13727000,195830027
1992/9/15,727.11,751.22,694.32,738.16,11937300,157671772
1992/9/16,762.29,776.68,738.16,769.04,14392600,203054668
1992/9/17,770.65,779.56,751.08,761.72,9418100,144745021
1992/9/18,715.89,761.72,715.89,754.4,6170700,81858483
1992/9/21,740.97,760.13,730.3,733.44,8172800,116545250
1992/9/22,730.71,736.9,716.23,722.7,6955200,91083474
1992/9/23,719.41,725.59,708.5,712.37,6559000,82873133
1992/9/24,720.51,735.49,709.63,730.57,7778700,92839186
1992/9/25,730.28,735.75,723.56,729.79,7653600,76255512
1992/9/28,724.45,729.79,721.19,724.7,4255700,40798092
1992/9/29,719.99,728.42,707.82,710.63,6483000,82381424
1992/9/30,703.63,710.63,698.91,702.32,8977800,96512331
